"INFO","FILES","03/30/2020","19:31:27","coldbox.system.web.services.ModuleService","Module str already activated, skipping activation."
"INFO","FILES","03/30/2020","19:31:27","coldbox.system.web.services.ModuleService","Module cbjavaloader already activated, skipping activation."
"INFO","FILES","03/30/2020","19:31:27","coldbox.system.web.services.ModuleService","==> Activated All Modules in 185 ms"
"INFO","FILES","03/30/2020","19:31:27","coldbox.system.web.services.InterceptorService","Re-scanning interceptors as modules have contributed interception points"
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.web.services.ModuleService","Module HTMLHelper unloaded successfully."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.web.services.ModuleService","Module cbjavaloader unloaded successfully."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.web.services.ModuleService","Module cfcollection unloaded successfully."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.web.services.ModuleService","Module quick unloaded successfully."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.web.services.ModuleService","Module hyper unloaded successfully."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.web.services.ModuleService","Module normalizeToArray unloaded successfully."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.web.services.ModuleService","Module qb unloaded successfully."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.web.services.ModuleService","Module str unloaded successfully."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.ioc.Injector","Shutdown of Injector: 193514215 requested and started."
"INFO","FILES","03/30/2020","19:31:56","coldbox.system.ioc.Injector","Shutdown of injector: 193514215 completed."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.RoutingService","Loading Modern Router at: config.Router"
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module HTMLHelper registered successfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module hyper registered successfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module normalizeToArray registered successfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module cfcollection registered successfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module qb registered successfully."
